Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
PyDict_GetItemWithError	5.860s	14,944,000,000	12,832,000,000	1.165	22.2%	37.4%	3.4%	0.0%	9.0%	39.3%	43.2%	0.0%	0.0%	0.0%	6.0%	7.9%	2.6 GHz	[Unknown]	PyDict_GetItemWithError	dictobject.c	0
_PyObject_VectorcallTstate	5.850s	19,760,000,000	13,232,000,000	1.493	17.9%	46.9%	16.9%	6.1%	0.0%	38.7%	27.3%	0.0%	0.0%	0.0%	6.1%	7.2%	3.4 GHz	[Unknown]	_PyObject_VectorcallTstate	abstract.h	0
malloc_consolidate	5.785s	20,336,000,000	6,128,000,000	3.319	6.4%	37.9%	11.2%	23.6%	0.7%	9.1%	31.0%	9.2%	0.0%	0.0%	0.7%	11.3%	3.5 GHz	[Unknown]	malloc_consolidate	malloc.c	0
lookdict_split	5.775s	20,592,000,000	20,864,000,000	0.987	21.5%	37.6%	16.9%	0.0%	3.6%	18.9%	21.9%	0.0%	0.0%	0.0%	2.2%	8.9%	3.6 GHz	[Unknown]	lookdict_split	dictobject.c	0
shmem_getpage_gfp	5.690s	20,592,000,000	15,824,000,000	1.301	28.3%	28.1%	23.2%	2.2%	3.6%	0.0%	0.0%	0.0%	0.0%	0.0%	10.9%	2.3%	3.6 GHz	[Unknown]	shmem_getpage_gfp	[Unknown]	0
frame_dealloc	5.625s	16,000,000,000	17,360,000,000	0.922	34.6%	50.9%	16.8%	19.7%	0.0%	26.3%	25.3%	0.0%	0.0%	0.0%	0.0%	1.7%	2.8 GHz	[Unknown]	frame_dealloc	frameobject.c	0
_PyRuntimeState_GetThreadState	5.590s	17,376,000,000	10,624,000,000	1.636	17.0%	41.6%	3.0%	6.0%	5.2%	12.1%	28.5%	0.0%	0.0%	0.0%	1.7%	0.0%	3.1 GHz	[Unknown]	_PyRuntimeState_GetThreadState	pycore_pystate.h	0
_PyUnicode_FromId	5.300s	14,112,000,000	13,248,000,000	1.065	15.7%	52.9%	10.4%	20.2%	1.1%	31.9%	27.6%	12.6%	0.0%	0.0%	0.0%	0.0%	2.7 GHz	[Unknown]	_PyUnicode_FromId	unicodeobject.c	0
__set_page_dirty_no_writeback	5.275s	11,632,000,000	18,992,000,000	0.612	76.5%	47.2%	0.0%	15.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	18.8%	2.2 GHz	[Unknown]	__set_page_dirty_no_writeback	[Unknown]	0
__GI_	5.265s	14,992,000,000	4,256,000,000	3.523	11.9%	62.0%	22.5%	9.0%	2.0%	32.0%	42.0%	0.0%	0.0%	0.0%	0.0%	1.6%	2.8 GHz	[Unknown]	__GI_(long, int, bool, char)	malloc.c	0
func@0x36a860	5.240s	14,288,000,000	16,496,000,000	0.866	20.2%	10.1%	66.8%	9.4%	0.0%	8.4%	5.2%	0.0%	0.0%	0.0%	0.0%	1.9%	2.7 GHz	[Unknown]	func@0x36a860	[Unknown]	0
_raw_spin_lock	5.225s	15,040,000,000	26,320,000,000	0.571	36.5%	36.7%	6.8%	16.0%	14.0%	0.0%	22.9%	0.0%	0.0%	0.0%	3.0%	1.9%	2.9 GHz	[Unknown]	_raw_spin_lock	[Unknown]	0
jpeg_make_d_derived_tbl	5.005s	14,976,000,000	16,800,000,000	0.891	30.2%	36.6%	33.1%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	16.0%	0.1%	3.0 GHz	[Unknown]	jpeg_make_d_derived_tbl	[Unknown]	0
l2rgb	4.750s	18,288,000,000	32,208,000,000	0.568	41.0%	0.3%	4.2%	3.3%	0.0%	0.0%	5.7%	0.0%	0.0%	0.0%	42.7%	29.4%	3.9 GHz	[Unknown]	l2rgb	[Unknown]	0
func@0x291e70	4.710s	10,864,000,000	34,624,000,000	0.314	100.0%	14.9%	0.0%	29.0%	0.0%	0.0%	1.4%	0.0%	0.0%	0.0%	0.0%	52.0%	2.3 GHz	[Unknown]	func@0x291e70	[Unknown]	0
page_mapping	4.235s	12,688,000,000	18,944,000,000	0.670	22.7%	21.5%	1.0%	29.6%	0.0%	0.0%	2.4%	0.0%	0.0%	0.0%	0.0%	30.6%	3.0 GHz	[Unknown]	page_mapping	[Unknown]	0
xas_store	4.225s	10,160,000,000	40,272,000,000	0.252	100.0%	45.1%	0.0%	7.4%	0.0%	0.0%	5.9%	0.0%	0.0%	0.0%	0.0%	0.0%	2.4 GHz	[Unknown]	xas_store	[Unknown]	0
unlink_chunk	4.155s	15,872,000,000	3,200,000,000	4.960	5.8%	47.1%	22.0%	0.0%	9.5%	21.8%	42.5%	0.0%	0.0%	0.0%	0.0%	11.6%	3.8 GHz	[Unknown]	unlink_chunk	malloc.c	0
_PyFunction_Vectorcall	4.135s	17,088,000,000	6,128,000,000	2.789	6.3%	21.3%	11.6%	0.0%	4.4%	34.7%	35.1%	19.8%	0.0%	0.0%	22.8%	17.7%	4.1 GHz	[Unknown]	_PyFunction_Vectorcall	call.c	0
arena_map_is_used	4.120s	16,864,000,000	13,920,000,000	1.211	12.4%	38.4%	28.0%	10.7%	4.4%	16.9%	24.9%	0.0%	0.0%	0.0%	0.0%	7.0%	4.1 GHz	[Unknown]	arena_map_is_used	obmalloc.c	0
page_add_file_rmap	4.070s	13,504,000,000	28,864,000,000	0.468	65.0%	17.8%	0.0%	16.7%	1.1%	2.2%	6.7%	0.0%	0.0%	0.0%	0.0%	25.7%	3.3 GHz	[Unknown]	page_add_file_rmap	[Unknown]	0
_raw_spin_lock_irq	4.050s	13,040,000,000	8,912,000,000	1.463	26.4%	48.4%	20.1%	18.4%	1.2%	0.0%	2.3%	0.0%	0.0%	0.0%	0.0%	3.2%	3.2 GHz	[Unknown]	_raw_spin_lock_irq	[Unknown]	0
__mod_zone_page_state	3.990s	13,776,000,000	32,672,000,000	0.422	45.2%	6.8%	0.0%	8.7%	0.0%	5.4%	2.2%	0.0%	0.0%	0.0%	4.4%	43.2%	3.5 GHz	[Unknown]	__mod_zone_page_state	[Unknown]	0
c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::reset_	3.980s	12,896,000,000	6,144,000,000	2.099	14.8%	68.6%	0.0%	18.6%	0.0%	5.8%	33.7%	0.0%	0.0%	0.0%	0.0%	12.3%	3.2 GHz	[Unknown]	c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::reset_(void)	[Unknown]	0
__alloc_pages_nodemask	3.975s	15,088,000,000	24,160,000,000	0.625	47.6%	19.8%	19.1%	5.0%	2.0%	2.0%	4.0%	0.0%	0.0%	0.0%	1.0%	4.5%	3.8 GHz	[Unknown]	__alloc_pages_nodemask	[Unknown]	0
__count_memcg_events	3.960s	14,272,000,000	10,752,000,000	1.327	18.3%	8.6%	0.0%	26.3%	7.4%	8.4%	7.4%	11.0%	0.0%	0.0%	0.0%	48.3%	3.6 GHz	[Unknown]	__count_memcg_events	[Unknown]	0
entry_SYSCALL_64	3.925s	11,808,000,000	416,000,000	28.385	2.8%	25.5%	12.5%	0.0%	0.0%	0.0%	44.5%	0.0%	0.0%	0.0%	0.0%	55.6%	3.0 GHz	[Unknown]	entry_SYSCALL_64	[Unknown]	0
unlock_page	3.820s	10,240,000,000	22,192,000,000	0.461	57.2%	37.7%	0.0%	22.0%	2.9%	0.0%	5.9%	0.0%	0.0%	0.0%	0.0%	6.1%	2.7 GHz	[Unknown]	unlock_page	[Unknown]	0
update_get_addr	3.810s	16,096,000,000	28,768,000,000	0.560	43.4%	47.7%	0.0%	0.0%	0.0%	13.0%	26.1%	0.0%	0.0%	0.0%	2.8%	11.0%	4.2 GHz	[Unknown]	update_get_addr	dl-tls.c	0
up_read	3.750s	8,944,000,000	13,504,000,000	0.662	58.6%	73.2%	0.0%	23.5%	0.0%	0.0%	1.7%	0.0%	0.0%	0.0%	0.0%	0.0%	2.4 GHz	[Unknown]	up_read	[Unknown]	0
tcache_get	3.690s	10,320,000,000	9,088,000,000	1.136	27.9%	84.5%	0.0%	8.7%	17.4%	43.6%	43.6%	0.0%	0.0%	0.0%	10.2%	0.0%	2.8 GHz	[Unknown]	tcache_get	malloc.c	0
sync_regs	3.630s	11,184,000,000	2,432,000,000	4.599	15.5%	66.8%	53.2%	8.0%	2.7%	0.0%	8.0%	0.0%	0.0%	0.0%	0.0%	59.4%	3.1 GHz	[Unknown]	sync_regs	[Unknown]	0
find_get_entries	3.620s	15,936,000,000	17,312,000,000	0.921	27.6%	9.7%	0.0%	15.1%	0.0%	9.1%	10.4%	94.6%	100.0%	0.0%	0.0%	15.4%	4.4 GHz	[Unknown]	find_get_entries	[Unknown]	0
tupledealloc	3.605s	12,416,000,000	12,864,000,000	0.965	36.9%	59.0%	12.9%	3.6%	6.0%	10.9%	19.3%	0.0%	0.0%	0.0%	2.4%	0.0%	3.4 GHz	[Unknown]	tupledealloc	tupleobject.c	0
get_page_from_freelist	3.600s	11,120,000,000	16,864,000,000	0.659	39.4%	22.6%	11.9%	2.7%	4.0%	2.7%	4.0%	0.0%	0.0%	0.0%	1.3%	18.9%	3.1 GHz	[Unknown]	get_page_from_freelist	[Unknown]	0
activate_page	3.535s	9,824,000,000	15,680,000,000	0.627	40.0%	8.2%	19.0%	26.0%	3.1%	0.0%	1.5%	0.0%	0.0%	0.0%	0.0%	65.5%	2.8 GHz	[Unknown]	activate_page	[Unknown]	0
arena_map_get	3.485s	8,768,000,000	7,696,000,000	1.139	19.4%	69.2%	14.4%	0.0%	8.6%	13.7%	41.1%	0.0%	0.0%	0.0%	0.0%	0.0%	2.5 GHz	[Unknown]	arena_map_get	obmalloc.c	0
_copy	3.485s	19,648,000,000	4,288,000,000	4.582	7.3%	1.2%	4.7%	38.9%	2.3%	8.5%	39.7%	0.0%	0.0%	0.0%	45.0%	0.0%	5.6 GHz	[Unknown]	_copy	[Unknown]	0
_Py_Dealloc	3.460s	10,128,000,000	8,784,000,000	1.153	13.4%	52.4%	29.6%	0.0%	3.0%	8.9%	32.6%	0.0%	0.0%	0.0%	0.0%	0.0%	2.9 GHz	[Unknown]	_Py_Dealloc	object.c	0
PyVectorcall_Function	3.400s	11,728,000,000	9,248,000,000	1.268	16.4%	54.4%	19.2%	17.9%	14.1%	16.9%	34.5%	21.5%	0.0%	0.0%	3.8%	3.7%	3.4 GHz	[Unknown]	PyVectorcall_Function	abstract.h	0
_raw_spin_lock_irqsave	3.380s	10,224,000,000	11,904,000,000	0.859	33.7%	18.6%	18.6%	46.9%	1.5%	0.0%	16.1%	0.0%	0.0%	0.0%	0.0%	6.9%	3.0 GHz	[Unknown]	_raw_spin_lock_irqsave	[Unknown]	0
vgetargs1_impl	3.345s	11,552,000,000	11,824,000,000	0.977	11.0%	63.4%	11.0%	1.3%	2.6%	11.7%	11.7%	17.8%	0.0%	0.0%	0.0%	9.5%	3.5 GHz	[Unknown]	vgetargs1_impl	getargs.c	0
shmem_add_to_page_cache	3.310s	14,944,000,000	25,776,000,000	0.580	42.2%	37.3%	8.4%	18.1%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	5.3%	4.5 GHz	[Unknown]	shmem_add_to_page_cache	[Unknown]	0
ImagingPaste	3.300s	7,424,000,000	2,800,000,000	2.651	7.9%	4.6%	6.9%	66.7%	20.2%	14.1%	68.7%	0.0%	0.0%	0.0%	70.7%	12.8%	2.2 GHz	[Unknown]	ImagingPaste	[Unknown]	0
func@0x175ac0	3.275s	7,136,000,000	10,112,000,000	0.706	41.1%	0.0%	0.0%	10.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	91.2%	2.2 GHz	[Unknown]	func@0x175ac0	[Unknown]	0
alloc_set_pte	3.275s	10,928,000,000	22,208,000,000	0.492	42.3%	25.2%	0.0%	16.5%	0.0%	1.4%	8.2%	0.0%	0.0%	0.0%	0.0%	24.3%	3.3 GHz	[Unknown]	alloc_set_pte	[Unknown]	0
at::detail::_empty_generic<long>	3.265s	9,776,000,000	5,536,000,000	1.766	17.4%	76.2%	0.0%	10.7%	1.5%	10.7%	26.1%	0.0%	0.0%	0.0%	0.0%	2.0%	3.0 GHz	[Unknown]	at::detail::_empty_generic<long>(c10::ArrayRef<long>, c10::Allocator*, c10::DispatchKeySet, c10::ScalarType, c10::optional<c10::MemoryFormat>)	[Unknown]	0
at::TensorIteratorBase::compute_types	3.250s	11,136,000,000	4,464,000,000	2.495	9.8%	100.0%	9.4%	16.2%	2.7%	0.0%	31.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.4 GHz	[Unknown]	at::TensorIteratorBase::compute_types(at::TensorIteratorConfig const&)	[Unknown]	0
_PyObject_GC_TRACK	3.170s	10,736,000,000	8,976,000,000	1.196	20.3%	32.9%	3.7%	0.0%	18.2%	5.3%	22.4%	19.4%	0.0%	0.0%	1.4%	29.7%	3.4 GHz	[Unknown]	_PyObject_GC_TRACK	pycore_object.h	0
call_function	3.065s	12,224,000,000	8,784,000,000	1.392	35.2%	67.5%	0.0%	8.6%	9.8%	8.6%	14.7%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0 GHz	[Unknown]	call_function	ceval.c	0
