Functions,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,batch_size,gpus
__memmove_avx_unaligned_erms,218.33,7.7,1.6,0.0,18.0,14.6,29.3,68.1,25.0,0.0,0.0,77.9,10.6,2.512850260227841,256,2
decompress_onepass,146.47,53.6,5.9,25.9,3.3,0.0,0.1,14.2,0.0,0.0,0.0,0.2,12.8,1.6857838025721237,256,2
ImagingUnpackRGB,136.465,83.8,5.9,1.0,0.9,0.0,0.0,14.5,0.0,0.0,0.0,0.5,8.2,1.570632120010957,256,2
__memset_avx2_unaligned_erms,31.07,41.9,23.0,22.5,6.8,0.0,0.0,14.2,0.0,0.0,0.0,3.5,0.0,0.3575974789780562,256,2
_int_free,10.725,24.1,77.9,18.9,11.6,3.0,19.7,39.5,0.0,0.0,0.0,0.0,0.0,0.12343846031669303,256,2
__libc_calloc,2.125,10.6,67.5,11.3,25.5,5.1,28.0,15.3,0.0,0.0,0.0,10.2,3.6,0.024457503792351766,256,2
decode_mcu,1807.047,39.9,8.4,41.9,16.8,0.2,0.1,12.4,0.0,0.0,0.0,0.0,6.1,21.670168940176424,256,3
jpeg_idct_islow,1417.316,70.9,2.7,6.5,1.8,0.0,0.0,11.0,0.1,0.0,0.0,0.2,18.6,16.99650156394111,256,3
ImagingResampleHorizontal_8bpc,638.751,88.4,2.0,0.0,0.7,0.0,0.1,16.3,0.3,0.0,0.0,0.1,9.7,7.659923665907212,256,3
ycc_rgb_convert,516.135,84.2,0.5,0.0,0.2,0.1,0.0,11.4,0.0,0.0,0.0,0.1,14.5,6.1895084333379025,256,3
ImagingResampleVertical_8bpc,438.34,87.8,0.2,0.1,0.8,0.0,0.2,11.4,0.0,0.0,0.0,0.1,11.1,5.256588153621313,256,3
__memmove_avx_unaligned_erms,228.06,7.5,1.7,0.5,19.5,14.4,29.9,69.5,31.1,0.0,0.0,80.8,9.1,2.7349032584634685,256,3
jpeg_idct_16x16,217.86,87.2,1.0,1.6,0.4,0.0,0.1,10.4,0.0,0.0,0.0,0.4,9.7,2.61258451236013,256,3
decompress_onepass,136.35,55.3,5.1,24.1,2.9,0.0,0.1,10.8,0.0,0.0,0.0,0.2,13.8,1.6351138265872749,256,3
ImagingUnpackRGB,134.43,88.4,6.1,0.0,0.6,0.1,0.0,12.4,0.0,0.0,0.0,1.0,5.7,1.6120891214384112,256,3
__memset_avx2_unaligned_erms,30.845,42.3,27.1,19.5,6.0,0.8,0.0,12.4,0.0,0.0,0.0,3.6,6.5,0.36989428662328194,256,3
_int_free,10.465,23.8,48.0,8.6,2.1,1.6,18.5,35.9,0.0,0.0,0.0,0.5,10.7,0.12549663509523895,256,3
__libc_calloc,2.135,15.7,49.5,21.6,27.7,4.0,17.8,19.8,0.0,0.0,0.0,5.9,4.6,0.025602992444179185,256,3
decode_mcu,1863.242,41.5,8.5,42.7,17.0,0.1,0.1,12.8,0.0,0.0,0.0,0.0,4.5,21.765294762873214,256,4
jpeg_idct_islow,1467.551,70.6,2.8,5.9,1.7,0.0,0.0,11.4,0.0,0.0,0.0,0.2,19.5,17.143065739474178,256,4
ImagingResampleHorizontal_8bpc,658.386,89.3,1.7,0.0,0.7,0.1,0.1,15.2,0.0,0.3,0.0,0.1,8.6,7.690877168799889,256,4
ycc_rgb_convert,529.926,83.6,0.5,1.0,0.2,0.0,0.0,12.1,0.0,0.0,0.0,0.1,13.8,6.1902831690732345,256,4
ImagingResampleVertical_8bpc,458.29,84.5,0.3,0.3,0.8,0.1,0.3,9.6,0.7,0.0,0.0,0.1,13.8,5.353473642649299,256,4
__memmove_avx_unaligned_erms,241.935,7.3,1.5,0.2,22.8,13.7,28.9,67.4,31.5,0.0,0.0,80.3,10.1,2.8261420623063085,256,4
jpeg_idct_16x16,228.8,82.6,1.0,0.0,0.5,0.1,0.0,10.8,0.0,0.0,0.0,0.4,16.1,2.6727067346836275,256,4
decompress_onepass,142.03,55.5,6.2,25.6,3.3,0.0,0.2,12.1,0.0,0.0,0.0,0.3,11.3,1.6591107409401906,256,4
ImagingUnpackRGB,139.045,87.6,6.6,1.8,0.6,0.1,0.1,11.0,0.0,0.0,0.0,1.2,3.6,1.6242417304374344,256,4
__memset_avx2_unaligned_erms,31.985,37.6,23.8,16.5,7.2,0.0,0.0,12.2,0.0,0.0,0.0,4.6,9.0,0.3736299165596845,256,4
_int_free,10.715,18.6,45.3,8.8,13.6,0.0,24.1,34.2,8.4,0.0,0.0,1.3,8.9,0.12516631408275816,256,4
__libc_calloc,2.38,16.7,40.7,0.0,34.3,0.0,17.9,14.9,0.0,0.0,0.0,10.4,5.4,0.02780175711777549,256,4
decode_mcu,1882.037,40.6,8.0,41.9,17.1,0.2,0.1,18.4,0.0,0.0,0.0,0.0,5.9,21.749418572736914,512,1
jpeg_idct_islow,1468.706,68.9,2.6,6.1,1.8,0.0,0.0,16.4,0.0,0.0,0.0,0.1,21.1,16.972833984820777,512,1
ImagingResampleHorizontal_8bpc,640.231,91.4,1.6,0.9,0.6,0.0,0.1,18.0,0.0,0.0,0.0,0.0,5.8,7.398713203960352,512,1
ycc_rgb_convert,536.641,84.0,0.3,0.2,0.2,0.0,0.0,16.6,0.0,0.0,0.0,0.0,14.8,6.2015941941057,512,1
ImagingResampleVertical_8bpc,440.415,88.0,0.2,0.0,0.6,0.1,0.2,11.5,0.0,0.0,0.0,0.0,11.8,5.0895759120101935,512,1
jpeg_idct_16x16,228.485,86.8,0.9,1.0,0.3,0.0,0.0,16.2,0.0,0.0,0.0,0.4,10.7,2.640445380506225,512,1
__memmove_avx_unaligned_erms,212.6,8.1,1.8,0.0,20.0,14.2,31.6,69.1,23.3,1.1,0.0,80.5,9.6,2.4568732647465845,512,1
decompress_onepass,145.655,53.6,5.9,27.0,3.7,0.0,0.1,16.1,0.0,0.0,0.0,0.1,11.8,1.6832355379899517,512,1
ImagingUnpackRGB,135.93,95.1,6.8,1.2,0.4,0.0,0.3,17.7,0.0,0.0,0.0,0.3,0.0,1.570850342789291,512,1
__memset_avx2_unaligned_erms,29.665,38.9,23.2,26.2,4.8,0.7,0.0,18.5,0.0,0.0,0.0,4.1,6.8,0.3428181815555382,512,1
_int_free,7.815,22.7,53.8,9.9,12.3,2.3,21.0,28.6,0.0,0.0,0.0,0.6,4.5,0.09031262730006848,512,1
__libc_calloc,1.795,7.0,52.9,4.5,0.0,15.3,15.3,15.3,0.0,0.0,0.0,0.0,25.3,0.020743591299247972,512,1
