,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,Function,config,python_func
30,156.52,28357632000000.0,3342336000000.0,10653696000000.0,2297856000000.0,0.0,261120000000.0,3081216000000.0,0.0,0.0,0.0,417792000000.0,7990272000000.0,1.6131793412864766,decompress_onepass,12,Loader
35,35.445,4464200000000.0,2983136000000.0,1848704000000.0,672256000000.0,10504000000.0,0.0,850824000000.0,0.0,0.0,0.0,1060904000000.0,577720000000.0,0.3653152424731609,__memset_avx2_unaligned_erms,12,Loader
21,1602.037,354867660800000.0,18392531200000.0,36785062400000.0,11360092800000.0,0.0,0.0,32457408000000.0,0.0,0.0,0.0,2163827200000.0,120633366400000.0,16.511455356354222,jpeg_idct_islow,12,Loader
31,155.925,46607568000000.0,3012240000000.0,0.0,821520000000.0,0.0,328608000000.0,3943296000000.0,0.0,0.0,0.0,1862112000000.0,4217136000000.0,1.6070469511250562,ImagingUnpackRGB,12,Loader
29,56.32898973405366,2621296266868.158,154193898051.0681,154193898051.0681,4953478974890.563,3083877961021.3623,2235811521740.488,19177866070101.598,0.0,0.0,0.0,2582747792355.391,6688160327965.08,0.5805568780635916,AVX2::div_true_kernel(float),12,Normalize
36,30.935,3288816000000.0,2449929600000.0,171590400000.0,333648000000.0,1105804800000.0,2507126400000.0,9532800000000.0,0.0,0.0,0.0,257385600000.00003,1010476800000.0,0.3188327557034062,add_kernel(float),12,Normalize
28,82.14603667773045,1358780133285.4119,380458437319.91534,108702410662.83296,3913286783861.9863,2255575021253.784,4402447631844.734,21604604119238.05,27175602665708.24,27175602665708.24,0.0,24322164385808.875,1467482543948.2454,0.8466412556674926,AVX2::direct_copy_kernel(float),12,Normalize
37,23.16,6696518400000.0,49420800000.0,140025600000.0,568339200000.0,288288000000.0,131788800000.0,1812096000000.0,0.0,0.0,0.0,1037836800000.0,667180800000.0,0.2386994220814898,ImagingFlipLeftRight,12,RandomHorizontalFlip
24,457.296,144156787200000.0,1611508800000.0002,0.0,3369518399999.9995,0.0,1025505600000.0,8057544000000.0,0.0,0.0,0.0,879004800000.0,7178539200000.001,4.713138640767572,ImagingResampleVertical_8bpc,12,RandomResizedCrop
26,62.27579330109101,1158714144246.3184,437250620470.3088,109312655117.5772,5749845659184.561,1902040199045.8433,3825942929115.2017,11215478415063.42,16134547895354.395,568425806611.4014,0.0,17511887349835.867,1880177668022.328,0.641847835519721,__memmove_avx_unaligned_erms,12,RandomResizedCrop
