
"AMD uProf (Version:4.0.341.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/rbachkaniwala3/work/anaconda3/envs/amduprof/bin/python"
Command Line Arguments:,"/home/rbachkaniwala3/work/rajveerb_AMDProfileControl-python/low_level_func/Collation.py "
Working Directory:,"/data/home/rbachkaniwala3/work/rajveerb_AMDProfileControl-python"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(128)"
Operating System:,"LinuxUbuntu 20.04.5 LTS-64 Kernel:5.4.0-137-generic"

PROFILE DETAILS
Profile Session Type:,"Time-based Sampling"
Profile Scope:,"Single Application"
CPU Mask:,"0-127"
CPU Affinity Mask:,"0-127"
Profile Start Time:,"Tue May 28 01:39:24 2024"
Profile End Time:,"Tue May 28 01:40:02 2024"
Profile Duration:,"0.011 seconds"
Data Folder:,"/home/rbachkaniwala3/low_level_func/AMDuProf-python-TBP_May-28-2024_01-39-24"
Virtual Machine:,"No"
Call Stack Sampling:,"False"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
"libgomp-a34b3233.so.1!0x00018cab",1.0000,"/data/home/rbachkaniwala3/work/anaconda3/envs/amduprof/lib/python3.9/site-packages/torch/lib/libgomp-a34b3233.so.1"

"100 HOTTEST PROCESSES (Sort Event - CPU_TIME)"
PROCESS,"CPU_TIME"
"pt_main_thread (PID:1434981)",63434.0000

"100 HOTTEST MODULES (Sort Event - CPU_TIME)"
MODULE,"CPU_TIME"
"/data/home/rbachkaniwala3/work/anaconda3/envs/amduprof/lib/python3.9/site-packages/torch/lib/libgomp-a34b3233.so.1",63376.0000
"/data/home/rbachkaniwala3/work/anaconda3/envs/amduprof/bin/python3.9",43.0000
"/data/home/rbachkaniwala3/work/anaconda3/envs/amduprof/lib/python3.9/site-packages/torch/lib/libtorch_cpu.so",15.0000

"100 HOTTEST THREADS (Sort Event - CPU_TIME)"
THREAD,"CPU_TIME"
"pt_main_thread [TID:1434981] (PID:1434981)",1057.0000
"pt_mai [TID:1435237] (PID:1434981)",1041.0000
"pt_mai [TID:1435229] (PID:1434981)",1037.0000
"pt_mai [TID:1435193] (PID:1434981)",1028.0000
"pt_mai [TID:1435227] (PID:1434981)",1027.0000
"pt_mai [TID:1435200] (PID:1434981)",1026.0000
"pt_mai [TID:1435213] (PID:1434981)",1026.0000
"pt_mai [TID:1435228] (PID:1434981)",1023.0000
"pt_mai [TID:1435234] (PID:1434981)",1022.0000
"pt_mai [TID:1435212] (PID:1434981)",1021.0000
"pt_mai [TID:1435215] (PID:1434981)",1018.0000
"pt_mai [TID:1435224] (PID:1434981)",1018.0000
"pt_mai [TID:1435194] (PID:1434981)",1017.0000
"pt_mai [TID:1435247] (PID:1434981)",1017.0000
"pt_mai [TID:1435225] (PID:1434981)",1016.0000
"pt_mai [TID:1435219] (PID:1434981)",1015.0000
"pt_mai [TID:1435218] (PID:1434981)",1014.0000
"pt_mai [TID:1435241] (PID:1434981)",1014.0000
"pt_mai [TID:1435210] (PID:1434981)",1013.0000
"pt_mai [TID:1435254] (PID:1434981)",1013.0000
"pt_mai [TID:1435245] (PID:1434981)",1012.0000
"pt_mai [TID:1435246] (PID:1434981)",1012.0000
"pt_mai [TID:1435211] (PID:1434981)",1011.0000
"pt_mai [TID:1435216] (PID:1434981)",1011.0000
"pt_mai [TID:1435239] (PID:1434981)",1010.0000
"pt_mai [TID:1435195] (PID:1434981)",1008.0000
"pt_mai [TID:1435197] (PID:1434981)",1007.0000
"pt_mai [TID:1435199] (PID:1434981)",1006.0000
"pt_mai [TID:1435201] (PID:1434981)",1006.0000
"pt_mai [TID:1435242] (PID:1434981)",1005.0000
"pt_mai [TID:1435243] (PID:1434981)",1001.0000
"pt_mai [TID:1435226] (PID:1434981)",999.0000
"pt_mai [TID:1435220] (PID:1434981)",994.0000
"pt_mai [TID:1435230] (PID:1434981)",991.0000
"pt_mai [TID:1435249] (PID:1434981)",991.0000
"pt_mai [TID:1435252] (PID:1434981)",988.0000
"pt_mai [TID:1435221] (PID:1434981)",987.0000
"pt_mai [TID:1435240] (PID:1434981)",987.0000
"pt_mai [TID:1435235] (PID:1434981)",986.0000
"pt_mai [TID:1435238] (PID:1434981)",985.0000
