Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
do_task_stat	2.195s	6,928,000,000	2,224,000,000	3.115	4.4%	8.1%	2.0%	0.0%	8.7%	3.2%	52.0%	54.1%	0.0%	0.0%	0.0%	12.5%	3.2 GHz	[Unknown]	do_task_stat	[Unknown]	0
alloc_perturb	2.195s	5,632,000,000	640,000,000	8.800	0.0%	26.3%	19.3%	16.0%	0.0%	0.0%	37.3%	0.0%	0.0%	0.0%	0.0%	0.0%	2.6 GHz	[Unknown]	alloc_perturb	malloc.c	0
memcg_kmem_get_cache	2.190s	6,192,000,000	944,000,000	6.559	1.1%	28.4%	8.9%	4.8%	21.8%	43.8%	43.6%	0.0%	37.6%	0.0%	2.4%	0.0%	2.8 GHz	[Unknown]	memcg_kmem_get_cache	[Unknown]	0
PyType_HasFeature	2.185s	4,192,000,000	5,520,000,000	0.759	20.0%	100.0%	16.2%	7.2%	0.0%	12.9%	21.5%	100.0%	0.0%	0.0%	0.0%	100.0%	1.9 GHz	[Unknown]	PyType_HasFeature	object.h	0
xas_find_conflict	2.180s	6,800,000,000	11,648,000,000	0.584	58.9%	41.6%	61.0%	8.8%	0.0%	0.0%	2.2%	0.0%	0.0%	0.0%	0.0%	0.0%	3.1 GHz	[Unknown]	xas_find_conflict	[Unknown]	0
find_name_in_mro	2.155s	7,648,000,000	2,192,000,000	3.489	3.8%	58.0%	28.6%	3.9%	23.5%	7.3%	37.3%	31.7%	0.0%	0.0%	0.0%	0.0%	3.5 GHz	[Unknown]	find_name_in_mro	typeobject.c	0
shmem_alloc_and_acct_page	2.150s	7,504,000,000	18,224,000,000	0.412	52.5%	20.4%	0.0%	16.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	48.0%	7.2%	3.5 GHz	[Unknown]	shmem_alloc_and_acct_page	[Unknown]	0
iscsi_dbg_trace	2.135s	6,640,000,000	1,440,000,000	4.611	7.2%	2.7%	0.0%	6.8%	0.0%	0.0%	9.0%	0.0%	0.0%	0.0%	94.9%	38.8%	3.1 GHz	[Unknown]	iscsi_dbg_trace	[Unknown]	0
object_dealloc	2.125s	4,864,000,000	2,544,000,000	1.912	0.7%	80.4%	20.1%	24.7%	0.0%	33.9%	40.1%	0.0%	0.0%	0.0%	0.0%	1.4%	2.3 GHz	[Unknown]	object_dealloc	typeobject.c	0
_PyObject_GC_UNTRACK	2.100s	7,040,000,000	3,296,000,000	2.136	10.1%	54.2%	15.6%	4.3%	4.3%	23.4%	21.3%	0.0%	0.0%	0.0%	2.1%	0.0%	3.4 GHz	[Unknown]	_PyObject_GC_UNTRACK	pycore_object.h	0
at::TensorIteratorBase::serial_for_each	2.080s	5,504,000,000	2,192,000,000	2.511	36.6%	93.0%	0.0%	10.9%	0.0%	24.5%	38.2%	0.0%	0.0%	0.0%	0.0%	0.0%	2.6 GHz	[Unknown]	at::TensorIteratorBase::serial_for_each(c10::function_ref<void (char**, long const*, long, long)>, at::Range) const	[Unknown]	0
