
"AMD uProf (Version:4.0.341.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/rbachkaniwala3/work/anaconda3/envs/amduprof/bin/python"
Command Line Arguments:,"/home/rbachkaniwala3/work/rajveerb_AMDProfileControl-python/low_level_func/Normalize.py "
Working Directory:,"/data/home/rbachkaniwala3/work/rajveerb_AMDProfileControl-python"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(128)"
Operating System:,"LinuxUbuntu 20.04.5 LTS-64 Kernel:5.4.0-137-generic"

PROFILE DETAILS
Profile Session Type:,"Time-based Sampling"
Profile Scope:,"Single Application"
CPU Mask:,"0-127"
CPU Affinity Mask:,"0-127"
Profile Start Time:,"Wed May 22 20:54:55 2024"
Profile End Time:,"Wed May 22 20:55:51 2024"
Profile Duration:,"0.009 seconds"
Data Folder:,"/home/rbachkaniwala3/low_level_func/AMDuProf-python-TBP_May-22-2024_20-54-54"
Virtual Machine:,"No"
Call Stack Sampling:,"False"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
"pt_mai [TID:3154221] (PID:3153984)",173.0000
"pt_mai [TID:3154224] (PID:3153984)",172.0000
"pt_mai [TID:3154197] (PID:3153984)",170.0000
"pt_mai [TID:3154205] (PID:3153984)",170.0000
"pt_mai [TID:3154188] (PID:3153984)",169.0000
"pt_mai [TID:3154230] (PID:3153984)",169.0000
"pt_mai [TID:3154234] (PID:3153984)",169.0000
"pt_mai [TID:3154226] (PID:3153984)",168.0000
"pt_mai [TID:3154233] (PID:3153984)",167.0000
"pt_mai [TID:3154210] (PID:3153984)",166.0000
"pt_mai [TID:3154211] (PID:3153984)",163.0000
"pt_mai [TID:3154194] (PID:3153984)",161.0000
"pt_mai [TID:3154180] (PID:3153984)",147.0000
"pt_mai [TID:3154189] (PID:3153984)",146.0000
"pt_mai [TID:3154181] (PID:3153984)",142.0000
"pt_mai [TID:3154178] (PID:3153984)",138.0000
"pt_mai [TID:3154228] (PID:3153984)",138.0000
"pt_mai [TID:3154217] (PID:3153984)",137.0000
"pt_mai [TID:3154201] (PID:3153984)",136.0000
"pt_mai [TID:3154222] (PID:3153984)",135.0000
"pt_mai [TID:3154218] (PID:3153984)",133.0000
"pt_mai [TID:3154190] (PID:3153984)",124.0000
"pt_mai [TID:3154182] (PID:3153984)",122.0000
"pt_main_thread [TID:3153984] (PID:3153984)",121.0000
"pt_mai [TID:3154179] (PID:3153984)",121.0000
"pt_mai [TID:3154187] (PID:3153984)",120.0000
"pt_mai [TID:3154202] (PID:3153984)",119.0000
"pt_mai [TID:3154238] (PID:3153984)",116.0000
"pt_mai [TID:3154235] (PID:3153984)",115.0000
"pt_mai [TID:3154203] (PID:3153984)",112.0000
"pt_mai [TID:3154207] (PID:3153984)",109.0000
"pt_mai [TID:3154219] (PID:3153984)",103.0000
"pt_mai [TID:3154220] (PID:3153984)",100.0000
"pt_mai [TID:3154229] (PID:3153984)",95.0000
