,Source Function,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.LOCAL_DRAM,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.REMOTE_DRAM,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:CYCLE_ACTIVITY.STALLS_TOTAL,CPU Time (s),CPU Time %,config
85,jpeg_fill_bit_buffer,7950011925,127503825,7500225,55186655550,10350015525,0,0,7050010575,260550390825,593850890775,542.84,3.8662881383214365,b1024_gpu4_dataloader24
86,__memmove_avx_unaligned_erms,812851219275,27045811350,322509675,44611338300,3033754550625,0,0,686101029150,1174651761975,1240951861425,440.45,3.137032294089744,b1024_gpu4_dataloader24
87,jpeg_idct_16x16,1800002700,52501575,7500225,37276118250,5700008550,0,0,750001125,52950079425,105750158625,381.535,2.7174199485197654,b1024_gpu4_dataloader24
88,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",603750905625,11152834575,5587667625,26130783900,2457903686850,0,0,522450783675,767101150650,800401200600,262.325,1.8683664355706484,b1024_gpu4_dataloader24
89,ImagingUnpackRGB,7800011700,7380221400,45001350,23175695250,17550026325,0,0,6150009225,68400102600,127500191250,224.31000000000003,1.5976108840669103,b1024_gpu4_dataloader24
90,decompress_onepass,10650015975,180005400,7500225,21000630000,23700035550,0,0,4650006975,104400156600,168150252225,202.855,1.444801194273073,b1024_gpu4_dataloader24
91,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",184800277200,7860235800,90002700,20700621000,532050798075,0,0,78450117675,351750527625,387000580500,196.93,1.4026013615054906,b1024_gpu4_dataloader24
92,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",5700008550,60001800,0,14820444600,12150018225,0,0,3450005175,50700076050,57450086175,144.845,1.0316345615562015,b1024_gpu4_dataloader24
93,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",73350110025,7417722525,60001800,9277778325,110850166275,0,0,24150036225,182100273150,232500348750,99.085,0.7057165282322223,b1024_gpu4_dataloader24
94,ImagingPackRGB,7950011925,2250067500,37501125,6037681125,18900028350,0,0,4050006075,29550044325,49200073800,62.614999999999995,0.4459649837539546,b1024_gpu4_dataloader24
